city,description,formal_name,link,location,name,rank,rating_star,recommend_rate,review_link,review_number,state,tuition_and_fees,undergraduate_enrollment,ci,ci_level,city,contributor,crime_index,dg,dg_level,loc,loc_level,pc,pc_level,pcb,pcb_level,pv,pv_level,safety_index,sd,sd_level,sn,sn_level,university,update,wa,wa_level,wbi,wbi_level,wbm,wbm_level,wbsc,wbsc_level,wcs,wcs_level,whb,whb_level,wtc,wtc_level,pcp_in_Apr,pcp_in_Aug,pcp_in_Dec,pcp_in_Feb,pcp_in_Jan,pcp_in_July,pcp_in_June,pcp_in_Mar,pcp_in_May,pcp_in_Nov,pcp_in_Oct,pcp_in_Sep,tmax_in_Apr,tmax_in_Aug,tmax_in_Dec,tmax_in_Feb,tmax_in_Jan,tmax_in_July,tmax_in_June,tmax_in_Mar,tmax_in_May,tmax_in_Nov,tmax_in_Oct,tmax_in_Sep,tmin_in_Apr,tmin_in_Aug,tmin_in_Dec,tmin_in_Feb,tmin_in_Jan,tmin_in_July,tmin_in_June,tmin_in_Mar,tmin_in_May,tmin_in_Nov,tmin_in_Oct,tmin_in_Sep,university,Bike_Main_Means,Bus_Trolleybus_Main_Means,Bus_Trolleybus_Ride_Bus_Trolleybus,CO2_Emission_Index,Car_Main_Means,Distance_Bus_Trolleybus,Distance_Car,Distance_Overall,Driving_Car_Car,Inefficiency_Index,Motorbike_Main_Means,Overall_Bus_Trolleybus,Overall_Car,Overall_Overall,Time_Exp_Index,Time_Index_in_minutes,Traffic_Index,Train_Metro_Main_Means,Train_Metro_Ride_Bus_Trolleybus,Tram_Streetcar_Main_Means,University,Waiting_Bus_Trolleybus,Walking_Bus_Trolleybus,Walking_Main_Means,Working_from_Home_Main_Means
Baltimore,"Johns Hopkins University is a private institution in Baltimore that offers a wide array of academic programs in the arts, humanities, social and natural sciences, and engineering disciplines. The Hopkins Blue Jays men?é?s lacrosse team is consistently dominant in the NCAA Division I; other sports teams at Hopkins compete at the Division III leve",Johns Hopkins University,https://www.usnews.com/best-colleges/jhu-2077,"Baltimore, MD",JOHNS HOPKINS UNIVERSITY,9,4.5,91%,https://www.usnews.com/best-colleges/jhu-2077/reviews,48.0,MD,58720.0,6331,76.98,High,"Baltimore, MD",129.0,75.57,87.7,Very High,87.9,Very High,81.69,Very High,71.11,High,83.86,Very High,24.43,47.07,Moderate,16.41,Very Low,Johns Hopkins University,22-Mar,71.29,High,69.51,High,73.82,High,60.48,High,64.96,High,65.08,High,78.0,High,2.07,4.37,0.83,4.84,2.16,3.65,2.76,3.9,3.63,1.33,5.25,6.04,67.9,88.8,54.7,42.7,44.6,91.0,86.4,59.8,76.7,56.6,74.2,81.9,45.0,70.5,36.4,29.0,29.0,69.3,65.4,37.7,51.2,34.2,55.2,61.0,Johns Hopkins University,0.00%,3.12%,15.0,"4,838.90",56.25%,2.41,26.91,21.3,30.06,131.15,0.00%,22.0,30.39,31.55,196.93,31.55,126.6,18.75%,,3.12%,Johns Hopkins University,2.0,5.0,15.62%,3.12%
Evanston,"Northwestern University is a private school in Evanston, Ill., about 30 minutes outside of Chicago. Undergraduate students have about 100 options for majors or can design their own non-traditional degree program.",Northwestern University,https://www.usnews.com/best-colleges/northwestern-university-1739,"Evanston, IL",NORTHWESTERN UNIVERSITY,9,5.0,100%,https://www.usnews.com/best-colleges/northwestern-university-1739/reviews,27.0,IL,60984.0,8194,75.0,High,"Evanston, IL",3.0,37.5,58.33,Moderate,37.5,Low,33.33,Low,41.67,Moderate,33.33,Low,62.5,91.67,Very High,58.33,Moderate,Northwestern University,20-Jan,41.67,Moderate,41.67,Moderate,33.33,Low,16.67,Very Low,33.33,Low,33.33,Low,33.33,Low,1.3,3.17,2.55,1.12,1.64,1.91,6.8,1.18,2.71,0.71,6.27,1.16,61.2,85.6,45.3,27.4,34,82.1,83.4,53.3,69.2,48.2,67.1,80.1,40.1,65.6,28.8,10.5,22.8,64.6,62.2,33.0,48.4,30.6,51.1,57.5,Northwestern University,,,,,,,,,,,,,,,,,,,,,Northwestern University,,,,
Lebanon,"Dartmouth College, a private institution in Hanover, New Hampshire, uses quarters, not semesters, to divide the school year. Among more than 300 student organizations at Dartmouth is the Outing Club, the nation's oldest and largest collegiate club of its kind, which offers outdoor activities, expeditions, gear rentals and courses.",Dartmouth College,https://www.usnews.com/best-colleges/dartmouth-college-2573,"Lebanon, NH",DARTMOUTH COLLEGE,13,5.0,100%,https://www.usnews.com/best-colleges/dartmouth-college-2573/reviews,14.0,NH,60870.0,4170,50.0,Moderate,"Hanover, NH",5.0,13.53,20.0,Low,5.0,Very Low,20.0,Low,15.0,Very Low,10.0,Very Low,86.47,100.0,Very High,85.0,Very High,Dartmouth College,21-Dec,0.0,Very Low,25.0,Low,10.0,Very Low,5.0,Very Low,15.0,Very Low,10.0,Very Low,20.0,Low,3.95,3.36,3.44,2.35,2.15,9.17,2.78,1.68,2.56,2.63,4.57,3.9,54.4,78.5,35.7,28.6,28.6,73.2,77.3,43.5,65.6,43.7,59.7,69.6,30.6,57.6,19.1,9.7,13.7,54.4,51.9,17.9,40.3,24.9,42.0,47.7,Dartmouth College,,,,,,,,,,,,,,,,,,,,,Dartmouth College,,,,
Providence,"At Brown University, undergraduate students are responsible for designing their own academic study with more than 80 concentration programs to choose from. Another unique offering at this private, Ivy League institution in Providence, Rhode Island, is the Program in Liberal Medical Education, which grants both a bachelor?é?s degree and medical degree in eight year",Brown University,https://www.usnews.com/best-colleges/brown-university-3401,"Providence, RI",BROWN UNIVERSITY,14,5.0,100%,https://www.usnews.com/best-colleges/brown-university-3401/reviews,10.0,RI,62404.0,6792,68.27,High,"Providence, RI",27.0,50.22,67.0,High,53.85,Moderate,61.0,High,54.0,Moderate,49.04,Moderate,49.78,69.44,High,38.0,Low,Brown University,22-Feb,37.5,Low,51.0,Moderate,41.35,Moderate,22.12,Low,38.46,Low,54.0,Moderate,56.0,Moderate,3.26,4.84,1.72,3.49,2.04,7.12,2.86,3.67,4.65,2.3,5.56,5.19,60.5,83.4,47.2,39.0,39.3,80.7,82.0,51.8,70.1,54.1,67.8,76.6,40.6,67.7,32.6,26.0,25.1,65.1,62.0,30.6,49.7,34.1,51.7,60.0,Brown University,16.67%,0.00%,,"7,492.33",83.33%,,28.64,24.13,33.8,196.22,0.00%,,33.8,30.67,142.29,30.67,143.16,0.00%,,0.00%,Brown University,,,0.00%,0.00%
Nashville,"Vanderbilt University is a private institution in Nashville, Tenn. with four undergraduate colleges: the College of Arts and Science, the School of Engineering, Peabody College, and the Blair School of Music. About 40 percent of Vanderbilt students participate in Greek life.",Vanderbilt University,https://www.usnews.com/best-colleges/vanderbilt-3535,"Nashville, TN",VANDERBILT UNIVERSITY,14,4.8,100%,https://www.usnews.com/best-colleges/vanderbilt-3535/reviews,23.0,TN,56966.0,7057,70.49,High,"Nashville, TN",61.0,46.84,58.33,Moderate,54.82,Moderate,58.2,Moderate,41.98,Moderate,52.05,Moderate,53.16,77.08,High,46.31,Moderate,Vanderbilt University,22-Feb,40.98,Moderate,40.35,Moderate,43.44,Moderate,22.81,Low,35.25,Low,41.39,Moderate,50.0,Moderate,2.35,7.05,3.64,4.81,2.57,8.74,2.22,12.28,5.05,1.47,4.7,4.47,70.7,89.9,64.2,47.0,50.5,90.7,88.1,66.7,78.0,60.3,76.0,82.7,47.4,71.3,42.6,30.0,33.6,71.5,67.9,44.7,55.4,35.6,56.6,62.4,Vanderbilt University,1.67%,3.33%,27.5,"9,351.80",90.00%,9.66,29.6,27.61,38.26,210.21,0.00%,52.5,38.89,38.98,"1,339.36",38.98,186.78,0.00%,,0.00%,Vanderbilt University,17.5,7.5,3.33%,1.67%
St. Louis,"Students can study architecture, art, arts and sciences, business, and engineering at??Washington University in St. Louis, a private research institution in Missouri. Outside of class, about 35 percent of the student body is involved in Greek life.",Washington University in St. Louis,https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520,"St. Louis, MO",WASHINGTON UNIVERSITY IN ST. LOUIS,14,0.0,0%,https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520/reviews,0.0,MO,58866.0,7653,,,,,,,,,,,,,,,,,,,,,Washington University in St. Louis,,,,,,,,,,,,,,,,4.11,4.85,2.76,1.64,3.82,5.95,5.33,5.17,2.86,0.35,2.62,3.04,67.4,90.7,57.9,34.4,40.9,88.1,88.2,61.9,74.8,57.6,72.6,85.2,46.8,71.6,36.1,18.7,29.1,71.0,69.6,42.3,55.8,35.8,55.1,64.6,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,Washington University in St. Louis,,,,
Ithaca,"Cornell University, a private school in Ithaca, New York, has 14 colleges and schools. Each admits its own students, though every graduate receives a degree from Cornell University. The university has more than 1,000 student organizations on campus.",Cornell University,https://www.usnews.com/best-colleges/cornell-university-2711,"Ithaca, NY",CORNELL UNIVERSITY,17,4.9,100%,https://www.usnews.com/best-colleges/cornell-university-2711/reviews,19.0,NY,61015.0,14743,60.0,High,"Ithaca, NY",5.0,21.47,60.0,High,15.0,Very Low,35.0,Low,5.0,Very Low,25.0,Low,78.53,95.0,Very High,80.0,Very High,Cornell University,22-Feb,10.0,Very Low,25.0,Low,5.0,Very Low,5.0,Very Low,5.0,Very Low,35.0,Low,25.0,Low,3.65,6.84,2.52,2.44,1.94,6.54,4.26,1.27,4.06,2.67,7.57,5.04,55.6,80.0,40.8,30.7,30.5,78.1,78.8,47.5,66.2,45.4,63.9,72.2,34.3,60.8,27.1,14.3,20.0,58.0,55.9,24.8,43.0,29.0,47.4,52.2,Cornell University,0.00%,16.67%,30.0,"2,261.60",50.00%,7.24,7.78,6.76,9.67,32.02,0.00%,40.0,11.0,18.4,18.4,18.4,75.9,0.00%,,0.00%,Cornell University,10.0,,16.67%,16.67%
Houston,"Rice University is located in the heart of the Museum District in Houston, TX. The private institution has a need-blind admissions policy and meets the full demonstrated need of any accepted student who requires help paying tuition.",Rice University,https://www.usnews.com/best-colleges/rice-3604,"Houston, TX",RICE UNIVERSITY,17,4.9,92%,https://www.usnews.com/best-colleges/rice-3604/reviews,14.0,TX,52895.0,4076,72.92,High,"Houston, TX",304.0,63.97,71.49,High,73.91,High,70.87,High,51.98,Moderate,69.88,High,36.03,56.77,Moderate,24.59,Low,Rice University,22-Feb,57.31,Moderate,55.86,Moderate,61.47,High,44.64,Moderate,59.44,Moderate,59.82,Moderate,71.43,High,2.28,3.87,1.85,1.91,1.72,7.23,6.12,1.52,10.39,2.23,2.75,7.61,78.8,94.9,78.2,62.2,66.3,92.9,92.7,76.2,85.0,74.5,86.0,90.3,62.4,79.2,61.4,45.3,47.8,77.9,77.6,56.4,70.5,54.5,68.1,73.4,Rice University,0.53%,5.29%,44.5,"10,285.98",89.95%,23.5,31.02,29.98,41.59,248.32,0.53%,55.4,41.92,41.9,"2,219.27",41.9,206.19,0.00%,0.2,0.00%,Rice University,3.8,4.4,1.59%,2.12%
Notre Dame,"The University of Notre Dame is a private, independent, Catholic institution in South Bend, Ind. Notre Dame?é?s athletic teams, known as the Fighting Irish, play in the NCAA Division I and are particularly competitive on the football fiel",University of Notre Dame,https://www.usnews.com/best-colleges/university-of-notre-dame-1840,"Notre Dame, IN",UNIVERSITY OF NOTRE DAME,19,4.9,96%,https://www.usnews.com/best-colleges/university-of-notre-dame-1840/reviews,26.0,IN,58843.0,8874,,,,,,,,,,,,,,,,,,,,,University of Notre Dame,,,,,,,,,,,,,,,,2.36,5.09,3.08,1.12,2.25,2.89,8.2,2.24,3.23,1.75,7.72,2.04,60.8,84.3,44.5,28.5,33.4,81.6,82.5,54.6,69.2,47.6,66.2,79.2,37.4,63.6,28.2,12.5,23.0,63.2,61.0,30.6,45.9,30.6,49.7,55.8,University of Notre Dame,,,,,,,,,,,,,,,,,,,,,University of Notre Dame,,,,
Los Angeles,"The University of California?é?Los Angeles is just five miles away from the Pacific Ocean. The public institution offers 5,000 courses, 140 bachelor's degree programs and 97 minor",University of California--Los Angeles,https://www.usnews.com/best-colleges/university-of-california-los-angeles-1315,"Los Angeles, CA",UNIVERSITY OF CALIFORNIA--LOS ANGELES,20,5.0,100%,https://www.usnews.com/best-colleges/university-of-california-los-angeles-1315/reviews,38.0,CA,43022.0,31636,58.8,Moderate,"Los Angeles, CA",379.0,50.22,62.67,High,56.97,Moderate,58.85,Moderate,51.04,Moderate,52.43,Moderate,49.78,68.73,High,44.79,Moderate,University of California--Los Angeles,22-Mar,44.59,Moderate,46.69,Moderate,44.24,Moderate,32.9,Low,44.88,Moderate,45.59,Moderate,53.72,Moderate,0.0,0.02,8.24,0.02,1.91,0.12,0.0,1.32,0.0,0.0,0.46,0.0,69.1,76.3,62.2,66.9,66.9,75.9,72.1,65.0,68.9,72.3,73.7,75.7,54.8,64.8,48.7,50.0,49.1,65.7,61.8,49.4,58.6,55.8,57.6,62.9,University of California--Los Angeles,1.56%,2.08%,40.0,"15,354.53",88.02%,13.52,66.31,61.42,62.76,790.17,1.56%,57.5,63.3,61.07,"17,151.72",61.07,344.06,1.04%,3.75,0.00%,University of California--Los Angeles,7.5,6.25,2.60%,3.12%
